Labware 2_3,09093,FMCA gain 600,04/29/2019 12:55:48,CLARIOstar
108,4112,3035,2554,1544,2514,1843,2396,1597,3660,3207,4185,3785,6445,4942,7203,4939,7431,6164,6000,4083,3986,1963,1737
87,1421,3173,529,1569,2047,745,578,3073,360,3327,1997,2325,3883,2873,4575,4403,348,1498,2909,2596,301,2844,4210
73,374,685,1964,1154,422,817,951,2513,3127,773,4440,1555,4912,1353,1895,2256,4889,2796,1712,894,2264,2397,5226
66,1787,4301,2509,4434,674,3202,4358,2873,333,2315,1076,1439,2265,3306,5035,1845,2097,435,3594,2588,2773,2982,6263
69,2848,2319,4353,1140,1763,2196,2783,2798,1342,2038,597,2173,584,3877,2567,2536,1937,2475,4405,869,2616,1646,6767
78,3708,1168,2727,2525,2554,3171,2680,2582,2300,2535,1345,2873,2353,2497,2842,3604,816,2506,2610,2741,1280,2148,5865
79,2425,2059,4464,1775,1246,3462,3176,323,1490,1106,2947,2106,1831,630,1708,1154,1956,2047,2847,850,2843,2259,6353
71,1459,5135,4892,2342,2572,3433,3338,2292,506,2846,875,3619,3508,2757,2326,3558,394,3584,2459,3347,2013,495,5617
80,2844,2567,2510,2813,2238,3055,1631,1550,1732,1939,2722,3371,2008,1493,3057,1725,1351,2504,3324,2495,1794,2205,6501
77,1253,1109,3490,3843,2412,3916,5018,1064,2689,2801,2981,4350,2262,2281,2165,2377,3046,3366,1684,1933,4051,988,6572
88,2742,3559,5371,3174,1827,3242,2970,2719,3625,3135,2609,2870,6266,3311,2000,1582,3068,3092,2553,2308,2833,2693,7032
71,219,4119,3541,2918,2629,3235,3069,3568,4577,3509,2133,1080,3294,4039,2205,2600,3795,3771,3682,6428,601,605,7129
86,4595,2283,2264,453,4610,3189,3452,2620,1451,1655,3106,662,6255,3425,3646,2631,3831,2503,5380,938,2791,1856,6734
79,617,4090,577,3302,958,3528,4030,4365,2927,3944,2047,4279,4879,5777,5716,2185,5254,1423,4762,5022,4559,3821,6962
111,2464,830,2361,1607,4557,1081,3275,2055,2748,1124,1150,2470,3848,2537,743,2565,1641,3319,3120,1896,3173,2887,8487
118,3801,5112,6166,6084,5225,6456,6595,6202,6688,6487,7100,7784,6397,9040,9012,9413,7876,8865,9000,8559,8690,9061,7978

Labware 2_3,09093,FMCA gain 800 v2,04/29/2019 12:59:15,CLARIOstar
572,25026,18422,15412,9379,15341,11202,14783,9802,22480,19652,25503,22900,39024,30035,43946,30058,44861,37226,36140,24807,24229,11909,10522
428,8523,19100,3131,9476,12370,4447,3427,18528,2120,20129,12075,14089,23417,17437,27684,26669,2030,9025,17506,15708,1700,17206,25518
323,2184,4076,11914,6959,2482,4894,5769,15282,19029,4688,27028,9395,29821,8195,11478,13709,29558,16922,10307,5342,13710,14512,31716
